trait,feature,comparison,n_a,n_b,mann_whitney_p,cliffs_delta
openness,emo_trust,high_vs_low,325,325,1.0,0.0
openness,emo_trust,humans_vs_high,290,325,1.0,0.0
openness,emo_trust,humans_vs_low,290,325,1.0,0.0
openness,emo_positive,high_vs_low,325,325,1.0,0.0
openness,emo_positive,humans_vs_high,290,325,1.0,0.0
openness,emo_positive,humans_vs_low,290,325,1.0,0.0
openness,emo_negative,high_vs_low,325,325,1.0,0.0
openness,emo_negative,humans_vs_high,290,325,1.0,0.0
openness,emo_negative,humans_vs_low,290,325,1.0,0.0
conscientiousness,word_count_log,high_vs_low,325,325,0.0005778958399940435,-0.15550295857988167
conscientiousness,word_count_log,humans_vs_high,290,325,1.0965357928626018e-13,-0.3465464190981432
conscientiousness,word_count_log,humans_vs_low,290,325,1.600681806779695e-14,-0.35820689655172416
conscientiousness,avg_sentence_len,high_vs_low,325,325,0.6920673916545093,0.017950295857988165
conscientiousness,avg_sentence_len,humans_vs_high,290,325,0.6104091328827486,0.023787798408488065
conscientiousness,avg_sentence_len,humans_vs_low,290,325,0.3822777374242763,0.040785145888594165
conscientiousness,avg_word_len,high_vs_low,325,325,1.499810167725023e-66,0.7811124260355029
conscientiousness,avg_word_len,humans_vs_high,290,325,1.3395747791233085e-49,-0.6910875331564986
conscientiousness,avg_word_len,humans_vs_low,290,325,0.00013804804814866964,-0.17792042440318304
conscientiousness,ttr,high_vs_low,325,325,5.702279865215982e-05,0.18242840236686392
conscientiousness,ttr,humans_vs_high,290,325,6.095763350771242e-11,-0.3053262599469496
conscientiousness,ttr,humans_vs_low,290,325,4.915203931881409e-08,-0.2545888594164456
conscientiousness,pron_i,high_vs_low,325,325,3.0302986387265497e-06,-0.21161656804733728
conscientiousness,pron_i,humans_vs_high,290,325,0.1677051816672015,-0.06440318302387268
conscientiousness,pron_i,humans_vs_low,290,325,4.972899381832204e-09,-0.2729655172413793
conscientiousness,pron_we,high_vs_low,325,325,0.021598819365501506,0.0965396449704142
conscientiousness,pron_we,humans_vs_high,290,325,1.667558033698452e-13,-0.303342175066313
conscientiousness,pron_we,humans_vs_low,290,325,1.017981465862989e-07,-0.21125729442970823
conscientiousness,pron_you,high_vs_low,325,325,0.10194100115796277,-0.012288757396449704
conscientiousness,pron_you,humans_vs_high,290,325,4.992094333508489e-24,0.2802546419098143
conscientiousness,pron_you,humans_vs_low,290,325,1.2175102699741451e-21,0.2703023872679045
conscientiousness,pron_3p,high_vs_low,325,325,5.285496676943787e-10,-0.2795076923076923
conscientiousness,pron_3p,humans_vs_high,290,325,0.01817786135075303,-0.10580371352785146
conscientiousness,pron_3p,humans_vs_low,290,325,5.8098914781302696e-12,-0.31540583554376656
conscientiousness,negation,high_vs_low,325,325,2.0819596505061092e-10,0.228894674556213
conscientiousness,negation,humans_vs_high,290,325,1.028608589957937e-05,-0.1679363395225464
conscientiousness,negation,humans_vs_low,290,325,0.2091094284359295,0.04029708222811671
conscientiousness,q_rate,high_vs_low,325,325,0.0008335319928072037,-0.033846153846153845
conscientiousness,q_rate,humans_vs_high,290,325,0.017624050190853786,0.017241379310344827
conscientiousness,q_rate,humans_vs_low,290,325,0.20278486906699855,-0.01640318302387268
conscientiousness,excl_rate,high_vs_low,325,325,3.313603027890764e-17,-0.25242130177514793
conscientiousness,excl_rate,humans_vs_high,290,325,0.0003212522439848971,-0.049039787798408487
conscientiousness,excl_rate,humans_vs_low,290,325,4.380336378464571e-23,-0.29293368700265254
conscientiousness,emo_anger,high_vs_low,325,325,1.0,0.0
conscientiousness,emo_anger,humans_vs_high,290,325,1.0,0.0
conscientiousness,emo_anger,humans_vs_low,290,325,1.0,0.0
conscientiousness,emo_anticipation,high_vs_low,325,325,1.0,0.0
conscientiousness,emo_anticipation,humans_vs_high,290,325,1.0,0.0
conscientiousness,emo_anticipation,humans_vs_low,290,325,1.0,0.0
conscientiousness,emo_disgust,high_vs_low,325,325,1.0,0.0
conscientiousness,emo_disgust,humans_vs_high,290,325,1.0,0.0
conscientiousness,emo_disgust,humans_vs_low,290,325,1.0,0.0
conscientiousness,emo_fear,high_vs_low,325,325,1.0,0.0
conscientiousness,emo_fear,humans_vs_high,290,325,1.0,0.0
conscientiousness,emo_fear,humans_vs_low,290,325,1.0,0.0
conscientiousness,emo_joy,high_vs_low,325,325,1.0,0.0
conscientiousness,emo_joy,humans_vs_high,290,325,1.0,0.0
conscientiousness,emo_joy,humans_vs_low,290,325,1.0,0.0
conscientiousness,emo_sadness,high_vs_low,325,325,1.0,0.0
conscientiousness,emo_sadness,humans_vs_high,290,325,1.0,0.0
conscientiousness,emo_sadness,humans_vs_low,290,325,1.0,0.0
conscientiousness,emo_surprise,high_vs_low,325,325,1.0,0.0
conscientiousness,emo_surprise,humans_vs_high,290,325,1.0,0.0
conscientiousness,emo_surprise,humans_vs_low,290,325,1.0,0.0
conscientiousness,emo_trust,high_vs_low,325,325,1.0,0.0
conscientiousness,emo_trust,humans_vs_high,290,325,1.0,0.0
conscientiousness,emo_trust,humans_vs_low,290,325,1.0,0.0
conscientiousness,emo_positive,high_vs_low,325,325,1.0,0.0
conscientiousness,emo_positive,humans_vs_high,290,325,1.0,0.0
conscientiousness,emo_positive,humans_vs_low,290,325,1.0,0.0
conscientiousness,emo_negative,high_vs_low,325,325,1.0,0.0
conscientiousness,emo_negative,humans_vs_high,290,325,1.0,0.0
conscientiousness,emo_negative,humans_vs_low,290,325,1.0,0.0
extraversion,word_count_log,high_vs_low,325,325,0.5643052758789457,-0.02606390532544379
extraversion,word_count_log,humans_vs_high,290,325,2.5236634702093485e-13,-0.3413793103448276
extraversion,word_count_log,humans_vs_low,290,325,2.0809125381383982e-13,-0.3425994694960212
extraversion,avg_sentence_len,high_vs_low,325,325,1.6222232128192124e-13,-0.33421065088757396
extraversion,avg_sentence_len,humans_vs_high,290,325,0.0006048902306677323,0.16006366047745357
extraversion,avg_sentence_len,humans_vs_low,290,325,0.9885723863962336,-0.0006790450928381963
extraversion,avg_word_len,high_vs_low,325,325,3.7199820547673016e-09,0.2672568047337278
extraversion,avg_word_len,humans_vs_high,290,325,5.682722613901153e-38,-0.6012838196286472
extraversion,avg_word_len,humans_vs_low,290,325,1.468869739853213e-25,-0.4877559681697613
extraversion,ttr,high_vs_low,325,325,0.008257304752294919,0.11972544378698224
extraversion,ttr,humans_vs_high,290,325,2.5610573515400916e-12,-0.3267267904509284
extraversion,ttr,humans_vs_low,290,325,2.315229631612229e-10,-0.29587267904509285
extraversion,pron_i,high_vs_low,325,325,4.457650002475622e-17,-0.3807431952662722
extraversion,pron_i,humans_vs_high,290,325,0.24650405282770305,0.05410079575596817
extraversion,pron_i,humans_vs_low,290,325,1.608461897438477e-09,-0.2816021220159151
extraversion,pron_we,high_vs_low,325,325,1.791365031358542e-05,0.18368757396449703
extraversion,pron_we,humans_vs_high,290,325,4.003144060903827e-19,-0.37853580901856765
extraversion,pron_we,humans_vs_low,290,325,4.961309327675165e-07,-0.19980901856763925
extraversion,pron_you,high_vs_low,325,325,0.007887511183524596,0.021538461538461538
extraversion,pron_you,humans_vs_high,290,325,2.5194922365698226e-20,0.26381962864721487
extraversion,pron_you,humans_vs_low,290,325,1.1406538835743885e-24,0.2827586206896552
extraversion,pron_3p,high_vs_low,325,325,0.789513106198661,0.012042603550295858
extraversion,pron_3p,humans_vs_high,290,325,4.474780889896373e-07,-0.2293580901856764
extraversion,pron_3p,humans_vs_low,290,325,3.5363026222412626e-07,-0.23179840848806366
extraversion,negation,high_vs_low,325,325,0.5447482420215932,0.02117869822485207
extraversion,negation,humans_vs_high,290,325,0.10876411104689333,-0.056413793103448275
extraversion,negation,humans_vs_low,290,325,0.41806241606272143,-0.027840848806366048
extraversion,q_rate,high_vs_low,325,325,1.0,0.0
extraversion,q_rate,humans_vs_high,290,325,0.017624050190853786,0.017241379310344827
extraversion,q_rate,humans_vs_low,290,325,0.017624050190853786,0.017241379310344827
extraversion,excl_rate,high_vs_low,325,325,2.1980749487715327e-58,0.6068071005917159
extraversion,excl_rate,humans_vs_high,290,325,5.880418719473249e-57,-0.6202334217506631
extraversion,excl_rate,humans_vs_low,290,325,0.017344105912970424,-0.0243395225464191
extraversion,emo_anger,high_vs_low,325,325,1.0,0.0
extraversion,emo_anger,humans_vs_high,290,325,1.0,0.0
extraversion,emo_anger,humans_vs_low,290,325,1.0,0.0
extraversion,emo_anticipation,high_vs_low,325,325,1.0,0.0
extraversion,emo_anticipation,humans_vs_high,290,325,1.0,0.0
extraversion,emo_anticipation,humans_vs_low,290,325,1.0,0.0
extraversion,emo_disgust,high_vs_low,325,325,1.0,0.0
extraversion,emo_disgust,humans_vs_high,290,325,1.0,0.0
extraversion,emo_disgust,humans_vs_low,290,325,1.0,0.0
extraversion,emo_fear,high_vs_low,325,325,1.0,0.0
extraversion,emo_fear,humans_vs_high,290,325,1.0,0.0
extraversion,emo_fear,humans_vs_low,290,325,1.0,0.0
extraversion,emo_joy,high_vs_low,325,325,1.0,0.0
extraversion,emo_joy,humans_vs_high,290,325,1.0,0.0
extraversion,emo_joy,humans_vs_low,290,325,1.0,0.0
extraversion,emo_sadness,high_vs_low,325,325,1.0,0.0
extraversion,emo_sadness,humans_vs_high,290,325,1.0,0.0
extraversion,emo_sadness,humans_vs_low,290,325,1.0,0.0
extraversion,emo_surprise,high_vs_low,325,325,1.0,0.0
extraversion,emo_surprise,humans_vs_high,290,325,1.0,0.0
extraversion,emo_surprise,humans_vs_low,290,325,1.0,0.0
extraversion,emo_trust,high_vs_low,325,325,1.0,0.0
extraversion,emo_trust,humans_vs_high,290,325,1.0,0.0
extraversion,emo_trust,humans_vs_low,290,325,1.0,0.0
extraversion,emo_positive,high_vs_low,325,325,1.0,0.0
extraversion,emo_positive,humans_vs_high,290,325,1.0,0.0
extraversion,emo_positive,humans_vs_low,290,325,1.0,0.0
extraversion,emo_negative,high_vs_low,325,325,1.0,0.0
extraversion,emo_negative,humans_vs_high,290,325,1.0,0.0
extraversion,emo_negative,humans_vs_low,290,325,1.0,0.0
agreeableness,word_count_log,high_vs_low,325,325,0.00025697845628433295,-0.1652449704142012
agreeableness,word_count_log,humans_vs_high,290,325,5.478102741221636e-13,-0.33648806366047745
agreeableness,word_count_log,humans_vs_low,290,325,5.601266261071022e-14,-0.3507055702917772
agreeableness,avg_sentence_len,high_vs_low,325,325,0.05724160555841046,-0.08614437869822485
agreeableness,avg_sentence_len,humans_vs_high,290,325,0.018416229628651432,0.1100159151193634
agreeableness,avg_sentence_len,humans_vs_low,290,325,0.12184194972290549,0.07221220159151194
agreeableness,avg_word_len,high_vs_low,325,325,2.805554515686641e-30,0.5182958579881657
agreeableness,avg_word_len,humans_vs_high,290,325,1.3780540234931378e-31,-0.5458037135278515
agreeableness,avg_word_len,humans_vs_low,290,325,1.6842863065857675e-05,-0.20085941644562333
agreeableness,ttr,high_vs_low,325,325,0.9349052900105598,-0.0037112426035502957
agreeableness,ttr,humans_vs_high,290,325,3.1394528545146834e-11,-0.309920424403183
agreeableness,ttr,humans_vs_low,290,325,2.103065777944909e-11,-0.3126684350132626
agreeableness,pron_i,high_vs_low,325,325,4.8191495115448606e-05,-0.18421775147928995
agreeableness,pron_i,humans_vs_high,290,325,0.1897178345480276,0.06122015915119364
agreeableness,pron_i,humans_vs_low,290,325,0.01660741656791184,-0.11180901856763925
agreeableness,pron_we,high_vs_low,325,325,1.4227574957578177e-08,0.2416662721893491
agreeableness,pron_we,humans_vs_high,290,325,8.456285742179713e-19,-0.37324137931034485
agreeableness,pron_we,humans_vs_low,290,325,5.849280551222634e-06,-0.1793209549071618
agreeableness,pron_you,high_vs_low,325,325,8.466044757297454e-10,-0.14174674556213018
agreeableness,pron_you,humans_vs_high,290,325,7.874649887892537e-20,0.26154907161803714
agreeableness,pron_you,humans_vs_low,290,325,6.906628831876644e-05,0.13491777188328913
agreeableness,pron_3p,high_vs_low,325,325,9.532094985475318e-09,-0.25985325443786983
agreeableness,pron_3p,humans_vs_high,290,325,3.944548800660988e-11,-0.30257824933687005
agreeableness,pron_3p,humans_vs_low,290,325,2.051230375881504e-24,-0.46919893899204246
agreeableness,negation,high_vs_low,325,325,5.610513962979326e-08,-0.21456094674556214
agreeableness,negation,humans_vs_high,290,325,0.06915730206366667,-0.06439257294429708
agreeableness,negation,humans_vs_low,290,325,3.9284137391380076e-11,-0.26254641909814325
agreeableness,q_rate,high_vs_low,325,325,0.002129486404175773,-0.03377041420118343
agreeableness,q_rate,humans_vs_high,290,325,0.07466479487225394,0.014175066312997347
agreeableness,q_rate,humans_vs_low,290,325,0.14210959274167811,-0.01946949602122016
agreeableness,excl_rate,high_vs_low,325,325,1.132836846424781e-34,0.38153846153846155
agreeableness,excl_rate,humans_vs_high,290,325,6.059972704228226e-31,-0.37939522546419097
agreeableness,excl_rate,humans_vs_low,290,325,0.2912565977646997,0.0034482758620689655
agreeableness,emo_anger,high_vs_low,325,325,1.0,0.0
agreeableness,emo_anger,humans_vs_high,290,325,1.0,0.0
agreeableness,emo_anger,humans_vs_low,290,325,1.0,0.0
agreeableness,emo_anticipation,high_vs_low,325,325,1.0,0.0
agreeableness,emo_anticipation,humans_vs_high,290,325,1.0,0.0
agreeableness,emo_anticipation,humans_vs_low,290,325,1.0,0.0
agreeableness,emo_disgust,high_vs_low,325,325,1.0,0.0
agreeableness,emo_disgust,humans_vs_high,290,325,1.0,0.0
agreeableness,emo_disgust,humans_vs_low,290,325,1.0,0.0
agreeableness,emo_fear,high_vs_low,325,325,1.0,0.0
agreeableness,emo_fear,humans_vs_high,290,325,1.0,0.0
agreeableness,emo_fear,humans_vs_low,290,325,1.0,0.0
agreeableness,emo_joy,high_vs_low,325,325,1.0,0.0
agreeableness,emo_joy,humans_vs_high,290,325,1.0,0.0
agreeableness,emo_joy,humans_vs_low,290,325,1.0,0.0
agreeableness,emo_sadness,high_vs_low,325,325,1.0,0.0
agreeableness,emo_sadness,humans_vs_high,290,325,1.0,0.0
agreeableness,emo_sadness,humans_vs_low,290,325,1.0,0.0
agreeableness,emo_surprise,high_vs_low,325,325,1.0,0.0
agreeableness,emo_surprise,humans_vs_high,290,325,1.0,0.0
agreeableness,emo_surprise,humans_vs_low,290,325,1.0,0.0
agreeableness,emo_trust,high_vs_low,325,325,1.0,0.0
agreeableness,emo_trust,humans_vs_high,290,325,1.0,0.0
agreeableness,emo_trust,humans_vs_low,290,325,1.0,0.0
agreeableness,emo_positive,high_vs_low,325,325,1.0,0.0
agreeableness,emo_positive,humans_vs_high,290,325,1.0,0.0
agreeableness,emo_positive,humans_vs_low,290,325,1.0,0.0
agreeableness,emo_negative,high_vs_low,325,325,1.0,0.0
agreeableness,emo_negative,humans_vs_high,290,325,1.0,0.0
agreeableness,emo_negative,humans_vs_low,290,325,1.0,0.0
neuroticism,word_count_log,high_vs_low,325,325,7.586844879216873e-28,0.49461775147928994
neuroticism,word_count_log,humans_vs_high,290,325,1.2091932062841952e-15,-0.3733580901856764
neuroticism,word_count_log,humans_vs_low,290,325,1.8899386867899014e-12,-0.32853050397877986
neuroticism,avg_sentence_len,high_vs_low,325,325,0.021606220407006226,0.10408520710059171
neuroticism,avg_sentence_len,humans_vs_high,290,325,0.17225587038061363,0.06371352785145888
neuroticism,avg_sentence_len,humans_vs_low,290,325,0.032277155169571484,0.09992572944297082
neuroticism,avg_word_len,high_vs_low,325,325,5.168707076974831e-71,-0.8076023668639053
neuroticism,avg_word_len,humans_vs_high,290,325,1.6451978242105795e-06,-0.2237135278514589
neuroticism,avg_word_len,humans_vs_low,290,325,1.3601638864717015e-52,-0.712392572944297
neuroticism,ttr,high_vs_low,325,325,2.352595736569293e-10,-0.28719526627218933
neuroticism,ttr,humans_vs_high,290,325,3.411072262270743e-08,-0.25760212201591515
neuroticism,ttr,humans_vs_low,290,325,4.30322694926728e-13,-0.33819628647214856
neuroticism,pron_i,high_vs_low,325,325,3.883466517357513e-25,0.46944378698224853
neuroticism,pron_i,humans_vs_high,290,325,2.961823574648444e-19,-0.418684350132626
neuroticism,pron_i,humans_vs_low,290,325,0.4009359850367281,0.039214854111405836
neuroticism,pron_we,high_vs_low,325,325,0.001378337202989356,-0.13393609467455622
neuroticism,pron_we,humans_vs_high,290,325,1.4137558034196932e-06,-0.19056763925729442
neuroticism,pron_we,humans_vs_low,290,325,4.3671557910714036e-13,-0.2973262599469496
neuroticism,pron_you,high_vs_low,325,325,0.9939632704730502,-6.627218934911243e-05
neuroticism,pron_you,humans_vs_high,290,325,8.751436796138714e-23,0.27516180371352783
neuroticism,pron_you,humans_vs_low,290,325,1.1382909780521624e-22,0.27441909814323606
neuroticism,pron_3p,high_vs_low,325,325,1.1066371065146535e-07,0.23978224852071006
neuroticism,pron_3p,humans_vs_high,290,325,4.198859687071998e-17,-0.3873740053050398
neuroticism,pron_3p,humans_vs_low,290,325,0.0008327162850334243,-0.15045092838196286
neuroticism,negation,high_vs_low,325,325,0.00017866337966745998,-0.13996686390532545
neuroticism,negation,humans_vs_high,290,325,0.24782533736114265,-0.04004244031830239
neuroticism,negation,humans_vs_low,290,325,4.1968735354108784e-05,-0.15455702917771882
neuroticism,q_rate,high_vs_low,325,325,0.00015771092409671146,0.043076923076923075
neuroticism,q_rate,humans_vs_high,290,325,0.06692125203573701,-0.025644562334217507
neuroticism,q_rate,humans_vs_low,290,325,0.017624050190853786,0.017241379310344827
neuroticism,excl_rate,high_vs_low,325,325,3.600941551187599e-05,0.10627218934911242
neuroticism,excl_rate,humans_vs_high,290,325,5.379290194623559e-13,-0.16942175066312998
neuroticism,excl_rate,humans_vs_low,290,325,1.607480951087334e-05,-0.06755437665782493
neuroticism,emo_anger,high_vs_low,325,325,1.0,0.0
neuroticism,emo_anger,humans_vs_high,290,325,1.0,0.0
neuroticism,emo_anger,humans_vs_low,290,325,1.0,0.0
neuroticism,emo_anticipation,high_vs_low,325,325,1.0,0.0
neuroticism,emo_anticipation,humans_vs_high,290,325,1.0,0.0
neuroticism,emo_anticipation,humans_vs_low,290,325,1.0,0.0
neuroticism,emo_disgust,high_vs_low,325,325,1.0,0.0
neuroticism,emo_disgust,humans_vs_high,290,325,1.0,0.0
neuroticism,emo_disgust,humans_vs_low,290,325,1.0,0.0
neuroticism,emo_fear,high_vs_low,325,325,1.0,0.0
neuroticism,emo_fear,humans_vs_high,290,325,1.0,0.0
neuroticism,emo_fear,humans_vs_low,290,325,1.0,0.0
neuroticism,emo_joy,high_vs_low,325,325,1.0,0.0
neuroticism,emo_joy,humans_vs_high,290,325,1.0,0.0
neuroticism,emo_joy,humans_vs_low,290,325,1.0,0.0
neuroticism,emo_sadness,high_vs_low,325,325,1.0,0.0
neuroticism,emo_sadness,humans_vs_high,290,325,1.0,0.0
neuroticism,emo_sadness,humans_vs_low,290,325,1.0,0.0
neuroticism,emo_surprise,high_vs_low,325,325,1.0,0.0
neuroticism,emo_surprise,humans_vs_high,290,325,1.0,0.0
neuroticism,emo_surprise,humans_vs_low,290,325,1.0,0.0
neuroticism,emo_trust,high_vs_low,325,325,1.0,0.0
neuroticism,emo_trust,humans_vs_high,290,325,1.0,0.0
neuroticism,emo_trust,humans_vs_low,290,325,1.0,0.0
neuroticism,emo_positive,high_vs_low,325,325,1.0,0.0
neuroticism,emo_positive,humans_vs_high,290,325,1.0,0.0
neuroticism,emo_positive,humans_vs_low,290,325,1.0,0.0
neuroticism,emo_negative,high_vs_low,325,325,1.0,0.0
neuroticism,emo_negative,humans_vs_high,290,325,1.0,0.0
neuroticism,emo_negative,humans_vs_low,290,325,1.0,0.0
