trait,feature,condition,n,mean,std
cCON,pron_3p,human_high,125,0.03641390302547903,0.016115417246161272
cCON,pron_3p,human_low,123,0.03647631058751638,0.01472524958390847
cCON,negation,human_high,125,0.010122419797441384,0.004865024230106966
cCON,negation,human_low,123,0.011098081836592515,0.005590571375723386
cCON,q_rate,human_high,125,0.05091472303164848,0.08579837999621673
cCON,q_rate,human_low,123,0.06067275521952702,0.08944798550700336
cCON,excl_rate,human_high,125,0.039687461219302056,0.08827364686644065
cCON,excl_rate,human_low,123,0.06607125015383938,0.24136019058883723
cCON,emo_anger,human_high,125,0.0,0.0
cCON,emo_anger,human_low,123,0.0,0.0
cCON,emo_anticipation,human_high,125,0.0,0.0
cCON,emo_anticipation,human_low,123,0.0,0.0
cCON,emo_disgust,human_high,125,0.0,0.0
cCON,emo_disgust,human_low,123,0.0,0.0
cCON,emo_fear,human_high,125,0.0,0.0
cCON,emo_fear,human_low,123,0.0,0.0
cCON,emo_joy,human_high,125,0.0,0.0
cCON,emo_joy,human_low,123,0.0,0.0
cCON,emo_sadness,human_high,125,0.0,0.0
cCON,emo_sadness,human_low,123,0.0,0.0
cCON,emo_surprise,human_high,125,0.0,0.0
cCON,emo_surprise,human_low,123,0.0,0.0
cCON,emo_trust,human_high,125,0.0,0.0
cCON,emo_trust,human_low,123,0.0,0.0
cCON,emo_positive,human_high,125,0.0,0.0
cCON,emo_positive,human_low,123,0.0,0.0
cCON,emo_negative,human_high,125,0.0,0.0
cCON,emo_negative,human_low,123,0.0,0.0
cOPN,word_count_log,human_high,128,6.424004150837067,0.36924622436913
cOPN,word_count_log,human_low,120,6.393063319447659,0.3885604229742985
cOPN,avg_sentence_len,human_high,128,23.777013441381072,61.5856065556887
cOPN,avg_sentence_len,human_low,120,19.27162667302128,39.539674288122704
cOPN,avg_word_len,human_high,128,3.974035819110646,0.17421701781874188
cOPN,avg_word_len,human_low,120,3.9083930434894665,0.16864349570270168
cOPN,ttr,human_high,128,0.4440594379081625,0.06567130000754608
cOPN,ttr,human_low,120,0.431914111855026,0.06488174909300344
cOPN,pron_i,human_high,128,0.09584066906484781,0.023248690701057034
cOPN,pron_i,human_low,120,0.10411341487589902,0.021073941894261015
cOPN,pron_we,human_high,128,0.005303469570571212,0.007635018110719199
cOPN,pron_we,human_low,120,0.004123430592616011,0.005568440312235349
cOPN,pron_you,human_high,128,0.005649224830043826,0.00658684552194693
cOPN,pron_you,human_low,120,0.0038342749620035583,0.004593570038491152
cOPN,pron_3p,human_high,128,0.03588221275110068,0.015466410726446028
cOPN,pron_3p,human_low,120,0.037045007069237565,0.01539248382104969
cOPN,negation,human_high,128,0.010875882239476069,0.005258326964716297
cOPN,negation,human_low,120,0.010318780116067626,0.005246786200027964
cOPN,q_rate,human_high,128,0.06381862009582409,0.08838854637918232
cOPN,q_rate,human_low,120,0.04715254915577002,0.08626421471838551
cOPN,excl_rate,human_high,128,0.05831992555097975,0.23065315631761035
cOPN,excl_rate,human_low,120,0.04685621625674661,0.10664062179872588
cOPN,emo_anger,human_high,128,0.0,0.0
cOPN,emo_anger,human_low,120,0.0,0.0
cOPN,emo_anticipation,human_high,128,0.0,0.0
cOPN,emo_anticipation,human_low,120,0.0,0.0
cOPN,emo_disgust,human_high,128,0.0,0.0
cOPN,emo_disgust,human_low,120,0.0,0.0
cOPN,emo_fear,human_high,128,0.0,0.0
cOPN,emo_fear,human_low,120,0.0,0.0
cOPN,emo_joy,human_high,128,0.0,0.0
cOPN,emo_joy,human_low,120,0.0,0.0
cOPN,emo_sadness,human_high,128,0.0,0.0
cOPN,emo_sadness,human_low,120,0.0,0.0
cOPN,emo_surprise,human_high,128,0.0,0.0
cOPN,emo_surprise,human_low,120,0.0,0.0
cOPN,emo_trust,human_high,128,0.0,0.0
cOPN,emo_trust,human_low,120,0.0,0.0
cOPN,emo_positive,human_high,128,0.0,0.0
cOPN,emo_positive,human_low,120,0.0,0.0
cOPN,emo_negative,human_high,128,0.0,0.0
cOPN,emo_negative,human_low,120,0.0,0.0
