trait,condition,token,mean_tfidf,discriminating_score,rank
cAGR,human_low,same,0.014695240538845255,0.005090907204955246,14
cAGR,human_low,because think,0.005372411271970884,0.005026534140423441,15
cAGR,human_low,the room,0.006976174141130353,0.005013311767698567,16
cAGR,human_low,topic,0.005986766623668033,0.005004144585862082,17
cAGR,human_low,of it,0.009973638358656401,0.004967736075317431,18
cAGR,human_low,the same,0.014183028841876241,0.004889995362532793,19
cAGR,human_low,playing,0.008638543449961527,0.004872098122476324,20
cCON,human_high,for me,0.016805332818547954,0.009333280882695895,1
cCON,human_high,week,0.013395733621352974,0.00799919281695887,2
cCON,human_high,get to,0.011247389102662826,0.006983769479406712,3
cCON,human_high,use,0.011128333007518459,0.006923699331661781,4
cCON,human_high,football,0.009756409322591864,0.006239528181102706,5
cCON,human_high,the best,0.009658748402482743,0.006237996664599765,6
cCON,human_high,party,0.008294191084059026,0.00606716097641233,7
cCON,human_high,best,0.013842777089776253,0.005836418699461155,8
cCON,human_high,bed,0.009590089906923538,0.005757698507719903,9
cCON,human_high,too,0.021143314252629632,0.005648886816093801,10
cCON,human_high,everything,0.01598623560718493,0.0054571287053242715,11
cCON,human_high,middle,0.006590590025912021,0.005451522394092634,12
cCON,human_high,seeing,0.00806533422556948,0.005444890588365149,13
cCON,human_high,able,0.011425524850997697,0.005366608279597459,14
cCON,human_high,able to,0.011425524850997697,0.005366608279597459,15
cCON,human_high,busy,0.00801669962079508,0.0052816955424081,16
cCON,human_high,my friends,0.013007114655594204,0.005259930881126064,17
cCON,human_high,what he,0.007134713991679171,0.005247084473093112,18
cCON,human_high,is going,0.013035616601656965,0.005187741346936461,19
cCON,human_high,than,0.01725017974783362,0.005172666847420569,20
cCON,human_low,live,0.012767512380006993,0.0062968687405007655,1
cCON,human_low,because of,0.009138718670803344,0.006219712268369913,2
cCON,human_low,like to,0.011083517019116789,0.005883676016541464,3
cCON,human_low,me feel,0.00931540414618214,0.005805998815477987,4
cCON,human_low,afraid,0.008605133407287,0.005655220259539514,5
cCON,human_low,brain,0.007271407635077777,0.005537025771177454,6
cCON,human_low,don really,0.008996821417176629,0.005533794178026441,7
cCON,human_low,to live,0.0075227129919167605,0.005140652297902998,8
cCON,human_low,my friend,0.009098581705609543,0.005097275169193822,9
cCON,human_low,is very,0.008152239557857231,0.004941542705036416,10
cCON,human_low,really know,0.006441552445593456,0.004759428452834998,11
cCON,human_low,writing,0.016887054058227796,0.004747792493846811,12
cCON,human_low,with this,0.007305056699120129,0.0046277771640103665,13
cCON,human_low,hardly,0.005409934456804572,0.004491149103189504,14
cCON,human_low,mean,0.015438902742337501,0.004483881203716428,15
cCON,human_low,going and,0.00485913721099828,0.00447330953131093,16
cCON,human_low,what the,0.008222489773606238,0.004450598943202754,17
cCON,human_low,because they,0.006752122587683047,0.0044034300593363725,18
cCON,human_low,major,0.0100104661459052,0.004392614260641128,19
cCON,human_low,back in,0.00522444837871437,0.0043523459703791595,20
cOPN,human_high,ll,0.019173339829164304,0.009349148610489423,1
cOPN,human_high,re,0.014654146946283869,0.008610838846613064,2
cOPN,human_high,if you,0.009397710885201103,0.007566110868845478,3
cOPN,human_high,being,0.016912364541764473,0.007120324879022866,4
cOPN,human_high,us,0.01422845063525339,0.006625531750818305,5
cOPN,human_high,you,0.02836853504928096,0.006420667474363356,6
cOPN,human_high,where,0.01506623953014458,0.006316259863828912,7
cOPN,human_high,by,0.019034246996584552,0.0062979977747114405,8
cOPN,human_high,its,0.018942294337116514,0.00621450308280589,9
cOPN,human_high,or,0.02783822302592573,0.006211555232108892,10
cOPN,human_high,we re,0.007479337124809906,0.006063044271690411,11
cOPN,human_high,mind,0.01674335550801491,0.005991409677450208,12
cOPN,human_high,most,0.015285050828727388,0.0057830200394855865,13
cOPN,human_high,car,0.008845268222521463,0.005776840647680722,14
cOPN,human_high,doesn,0.01477703907054784,0.00573670104236052,15
cOPN,human_high,you re,0.00661446685610874,0.005621975358075049,16
cOPN,human_high,own,0.011459970322905586,0.005566674281526129,17
cOPN,human_high,your,0.014226140911150934,0.0055020349240177055,18
cOPN,human_high,wish,0.018896674511610558,0.005421266455241798,19
cOPN,human_high,wish could,0.008534005023041037,0.005213830697533695,20
cOPN,human_low,high school,0.016219080343431076,0.008891724700954843,1
cOPN,human_low,my classes,0.011302146487670375,0.007575145504863559,2
cOPN,human_low,going to,0.024770558302899568,0.007290033595167111,3
cOPN,human_low,high,0.016742173314009328,0.007245888541125846,4
cOPN,human_low,also,0.017950174272417182,0.0069267596863488105,5
cOPN,human_low,classes,0.01551942431813022,0.006683006320043287,6
cOPN,human_low,small,0.008707106322501308,0.006568045335651893,7
cOPN,human_low,talking to,0.008472846629820223,0.00640893886881035,8
cOPN,human_low,brother,0.009976781570122358,0.006307518276617953,9
cOPN,human_low,going,0.027334973844195726,0.00612379719883472,10
cOPN,human_low,my roommate,0.012914362665172178,0.005899880159698588,11
cOPN,human_low,they are,0.014175991678476269,0.005796663964919338,12
cOPN,human_low,austin,0.012306182688366306,0.0057848605733915774,13
cOPN,human_low,starting to,0.00878539452876475,0.0057841983322403446,14
cOPN,human_low,really don,0.008730207895025736,0.005782774768761826,15
cOPN,human_low,feel like,0.013815010864677128,0.0057678749883998195,16
cOPN,human_low,go to,0.01603046693509618,0.005736616335832329,17
cOPN,human_low,texas,0.00934379162377161,0.00573345241136659,18
cOPN,human_low,she is,0.014023939092437645,0.005694418404964418,19
cOPN,human_low,am so,0.011107314417004183,0.0056898281681138614,20
