essay_id,prompted_trait,prompted_level,score_openness,score_conscientiousness,score_extraversion,score_agreeableness,score_neuroticism
B_rv_openness_HIGH_086_labelonly,openness,HIGH,-0.412673,-0.7715133,-1.0277952,-0.41231757,0.33365402
B_rv_openness_HIGH_091_labelonly,openness,HIGH,-0.2257407,-0.22111174,-0.78482175,-0.31485415,0.36335298
B_rv_openness_HIGH_087_labelonly,openness,HIGH,-0.752215,-0.83460283,-1.155496,-0.78684956,0.44370064
B_rv_openness_HIGH_090_labelonly,openness,HIGH,-0.7904339,-0.8115567,-1.0412748,-0.582301,0.5528023
B_rv_openness_HIGH_089_labelonly,openness,HIGH,-0.660715,-0.7002059,-0.88424164,-0.66619134,0.47499323
B_rv_openness_HIGH_094_labelonly,openness,HIGH,-0.58882165,-0.84425163,-1.0937277,-0.5071466,0.2769255
B_rv_openness_HIGH_092_labelonly,openness,HIGH,-0.6322974,-0.84874225,-0.9949929,-0.7926204,0.5153326
B_rv_openness_HIGH_093_labelonly,openness,HIGH,-0.3051981,-0.559206,-0.7337511,-0.3188793,0.23961839
B_rv_openness_HIGH_095_labelonly,openness,HIGH,-0.9135758,-0.8847872,-1.1961701,-0.6687361,0.31658694
B_rv_openness_HIGH_088_labelonly,openness,HIGH,-0.5714413,-0.71943796,-0.96265477,-0.4646543,0.35480085
B_rv_openness_HIGH_097_labelonly,openness,HIGH,0.039845802,-0.26495525,-0.6497249,-0.11705265,0.24650292
B_rv_openness_HIGH_098_labelonly,openness,HIGH,-1.0240368,-0.99920607,-1.5694656,-1.3244383,0.47058058
B_rv_openness_HIGH_096_labelonly,openness,HIGH,-0.1380733,-0.31918526,-0.69254524,-0.38478485,0.22469951
B_rv_openness_HIGH_099_labelonly,openness,HIGH,-0.6040961,-0.70765215,-0.9323636,-0.56963384,0.29673067
B_rv_openness_HIGH_102_labelonly,openness,HIGH,-0.36495504,-0.46066278,-0.8302775,-0.22080778,0.3498967
B_rv_openness_HIGH_103_labelonly,openness,HIGH,-0.95018965,-0.6554739,-1.2307462,-0.80689937,0.24512433
B_rv_openness_HIGH_101_labelonly,openness,HIGH,-0.99315596,-1.2593657,-1.2565442,-0.7874426,0.36977974
B_rv_openness_HIGH_104_labelonly,openness,HIGH,-0.54693,-0.6045421,-0.79807866,-0.6369341,0.40106574
B_rv_openness_HIGH_108_labelonly,openness,HIGH,-0.41019264,-0.25333935,-0.93794894,-0.30791238,0.111845896
B_rv_openness_HIGH_105_labelonly,openness,HIGH,-0.6242786,-0.7558849,-0.76480275,-0.4193217,0.428588
B_rv_openness_HIGH_106_labelonly,openness,HIGH,-0.5480549,-0.67328835,-0.900707,-0.57426107,0.53205496
B_rv_openness_HIGH_100_labelonly,openness,HIGH,-0.8546201,-0.97223425,-1.1913424,-1.0321796,0.44987944
B_rv_openness_HIGH_109_labelonly,openness,HIGH,-0.638833,-0.49179673,-0.9661086,-0.47690925,0.47827438
B_rv_openness_HIGH_111_labelonly,openness,HIGH,-0.76390594,-0.84202427,-0.977827,-0.6973589,0.48550293
B_rv_openness_HIGH_113_labelonly,openness,HIGH,-0.5787232,-0.45047122,-1.0538465,-0.66466165,0.15833469
B_rv_openness_HIGH_114_labelonly,openness,HIGH,-0.38203064,-0.47354844,-0.71125513,-0.3979654,0.23187791
B_rv_openness_HIGH_115_labelonly,openness,HIGH,-0.8608662,-1.0343134,-1.3347869,-0.93129694,0.4206405
B_rv_openness_HIGH_116_labelonly,openness,HIGH,-0.42857698,-0.5699182,-0.90237534,-0.29864293,0.2749456
B_rv_openness_HIGH_112_labelonly,openness,HIGH,-0.8123374,-0.7940221,-0.98776346,-0.59504753,0.49094412
B_rv_openness_HIGH_110_labelonly,openness,HIGH,-0.9035943,-0.8726832,-1.2563885,-0.9113304,0.31309602
B_rv_openness_HIGH_117_labelonly,openness,HIGH,-0.5543995,-0.6091163,-0.9292432,-0.61488676,0.32499564
B_rv_openness_HIGH_120_labelonly,openness,HIGH,-0.8134964,-0.9396017,-1.0759485,-0.64088553,0.51725256
B_rv_openness_HIGH_119_labelonly,openness,HIGH,-0.11540202,-0.3943879,-0.7185959,-0.17066866,0.2126004
B_rv_openness_HIGH_118_labelonly,openness,HIGH,-0.5695611,-0.627685,-0.99331516,-0.61275727,0.33362922
B_rv_openness_HIGH_107_labelonly,openness,HIGH,-0.2318761,-0.4310227,-0.676718,-0.3029773,0.11970979
B_rv_openness_HIGH_122_labelonly,openness,HIGH,-0.7662647,-0.784805,-1.0689272,-0.6048951,0.3061235
B_rv_openness_HIGH_123_labelonly,openness,HIGH,-0.3730618,-0.38290712,-0.8441141,-0.33994445,0.33934137
B_rv_openness_HIGH_121_labelonly,openness,HIGH,-0.41265556,-0.4454147,-0.9741518,-0.44025227,0.17380446
B_rv_openness_LOW_001_labelonly,openness,LOW,-0.763103,-0.8179052,-1.1482937,-0.98614347,0.6494861
B_rv_openness_LOW_003_labelonly,openness,LOW,-0.6554153,-0.8218668,-1.0139441,-0.68668777,0.38412777
B_rv_openness_LOW_002_labelonly,openness,LOW,-0.3041146,-0.4976899,-0.8587268,-0.41810977,0.30514345
B_rv_openness_HIGH_124_labelonly,openness,HIGH,-0.39704195,-0.6603221,-0.8855111,-0.45634374,0.32714358
B_rv_openness_LOW_000_labelonly,openness,LOW,-0.7529737,-0.89665115,-1.0708338,-0.65333843,0.5670888
B_rv_openness_LOW_007_labelonly,openness,LOW,-0.9263932,-0.8620382,-1.2743379,-0.93135124,0.69342136
B_rv_openness_LOW_005_labelonly,openness,LOW,-0.9219876,-0.79210407,-1.229549,-0.9745762,0.6261053
B_rv_openness_LOW_010_labelonly,openness,LOW,-0.6743625,-0.8720994,-1.1002771,-0.6781421,0.4915728
B_rv_openness_LOW_006_labelonly,openness,LOW,-0.6411489,-0.61992097,-1.024875,-0.58185935,0.6140901
B_rv_openness_LOW_008_labelonly,openness,LOW,-0.96632195,-0.99945396,-1.2283281,-0.79649925,0.52774525
B_rv_openness_LOW_013_labelonly,openness,LOW,-0.7382078,-0.84097326,-0.9428286,-0.7390039,0.3905362
B_rv_openness_LOW_012_labelonly,openness,LOW,-0.21625654,-0.6684177,-0.7949409,-0.14535226,0.23179565
B_rv_openness_LOW_016_labelonly,openness,LOW,-0.5241768,-0.632874,-0.8700035,-0.45210066,0.39048156
B_rv_openness_LOW_014_labelonly,openness,LOW,-0.39095965,-0.5313513,-0.6008185,-0.1856185,0.44431818
B_rv_openness_LOW_017_labelonly,openness,LOW,-0.9331578,-0.94083345,-1.3949038,-0.9209021,0.35949144
B_rv_openness_LOW_015_labelonly,openness,LOW,-0.57145417,-0.6281877,-0.85735697,-0.5533498,0.44714046
B_rv_openness_LOW_018_labelonly,openness,LOW,-0.54133165,-0.84846115,-0.9816316,-0.6608013,0.38227352
B_rv_openness_LOW_004_labelonly,openness,LOW,-0.88078654,-0.8474014,-1.3922175,-0.9644789,0.5036155
B_rv_openness_LOW_009_labelonly,openness,LOW,-0.6214589,-0.66893536,-1.0517544,-0.6583365,0.49478194
B_rv_openness_LOW_021_labelonly,openness,LOW,-0.3041977,-0.5422559,-0.67580366,0.034925714,0.08104588
B_rv_openness_LOW_022_labelonly,openness,LOW,-0.35084298,-0.44904286,-0.6563286,-0.37726608,0.40400627
B_rv_openness_LOW_019_labelonly,openness,LOW,-0.8470912,-0.67057395,-0.9940646,-0.66978467,0.53559303
B_rv_openness_LOW_020_labelonly,openness,LOW,-0.3371636,-0.49047938,-0.7682002,-0.43322554,0.42464194
B_rv_openness_LOW_024_labelonly,openness,LOW,-0.44824633,-0.5812402,-0.8575106,-0.5294888,0.48448834
B_rv_openness_LOW_026_labelonly,openness,LOW,-0.955023,-1.0036194,-1.4333632,-0.823124,0.4508696
B_rv_openness_LOW_027_labelonly,openness,LOW,-0.82392687,-1.043896,-1.390037,-0.9909687,0.44215408
B_rv_openness_LOW_023_labelonly,openness,LOW,-0.19358961,-0.4849224,-0.87954146,-0.49679282,0.18471496
B_rv_openness_LOW_025_labelonly,openness,LOW,-0.41768003,-0.69962645,-0.965182,-0.7453083,0.4506917
B_rv_openness_LOW_028_labelonly,openness,LOW,-0.9291467,-0.95318186,-1.2637573,-0.86862534,0.5694386
B_rv_openness_LOW_031_labelonly,openness,LOW,-0.6952294,-0.8911046,-1.039905,-0.6806772,0.45303184
B_rv_openness_LOW_030_labelonly,openness,LOW,0.0049811373,-0.3112681,-0.692066,-0.0059039313,0.28734502
B_rv_openness_LOW_029_labelonly,openness,LOW,-0.3457711,-0.6029577,-0.6813883,-0.2867668,0.42088327
B_rv_openness_LOW_032_labelonly,openness,LOW,-0.7039529,-0.78451717,-1.099279,-0.6188114,0.42893836
B_rv_openness_LOW_033_labelonly,openness,LOW,-0.3383334,-0.53691304,-0.81131595,-0.42697695,0.34830448
B_rv_openness_LOW_036_labelonly,openness,LOW,-0.52993095,-0.7101162,-1.0279458,-0.42651686,0.40408698
B_rv_openness_LOW_035_labelonly,openness,LOW,-0.62635934,-0.47867587,-1.0498937,-0.69343686,0.67079735
B_rv_openness_LOW_038_labelonly,openness,LOW,-1.0856313,-1.1140649,-1.2332097,-0.85447216,0.55019236
B_rv_openness_LOW_037_labelonly,openness,LOW,-0.7010758,-0.8873449,-1.1084632,-0.72342336,0.53512573
B_rv_openness_LOW_039_labelonly,openness,LOW,-0.5687355,-0.6939285,-0.98692995,-0.59971654,0.59960186
B_rv_openness_LOW_040_labelonly,openness,LOW,-0.31048873,-0.38876826,-0.68798065,-0.2443347,0.37168083
B_rv_openness_LOW_042_labelonly,openness,LOW,-0.53579307,-0.6276988,-0.69789845,-0.57438016,0.4331926
B_rv_openness_LOW_046_labelonly,openness,LOW,-0.7907635,-0.7654472,-1.2487863,-0.8450194,0.63407314
B_rv_openness_LOW_041_labelonly,openness,LOW,-0.24219722,-0.3695203,-0.58469576,-0.1665889,0.2216228
B_rv_openness_LOW_034_labelonly,openness,LOW,-0.6755537,-0.8128736,-1.1997342,-0.67415,0.47394213
B_rv_openness_LOW_045_labelonly,openness,LOW,-0.24011227,-0.4006012,-0.7118114,-0.32664987,0.3022848
B_rv_openness_LOW_044_labelonly,openness,LOW,-0.8680012,-1.0175523,-1.4612426,-0.96224886,0.3921691
B_rv_openness_LOW_043_labelonly,openness,LOW,-0.3748311,-0.48888826,-0.88410765,-0.33883232,0.26971114
B_rv_openness_LOW_047_labelonly,openness,LOW,-0.42952242,-0.6307887,-0.9872063,-0.544675,0.39838478
B_rv_openness_LOW_049_labelonly,openness,LOW,-0.54657066,-0.66173697,-0.83407813,-0.45449248,0.36231223
B_rv_openness_LOW_048_labelonly,openness,LOW,-0.24590895,-0.29024017,-0.53800666,-0.37919137,0.31498936
B_rv_openness_LOW_052_labelonly,openness,LOW,-0.5931059,-0.66728914,-0.91089773,-0.6005273,0.38183245
B_rv_openness_LOW_053_labelonly,openness,LOW,-0.28831643,-0.1333366,-0.84236187,-0.45637694,0.05910526
B_rv_openness_LOW_051_labelonly,openness,LOW,-0.34307024,-0.2838941,-0.84253377,-0.47186664,0.3517906
B_rv_openness_LOW_050_labelonly,openness,LOW,-0.5201565,-0.3324196,-0.9412104,-0.54501927,0.29392028
B_rv_openness_LOW_054_labelonly,openness,LOW,-0.20441455,-0.35514605,-0.6300901,-0.08490356,0.24008135
B_rv_openness_LOW_055_labelonly,openness,LOW,-0.26079187,-0.43371665,-0.5388308,-0.24503738,0.39961228
B_rv_openness_LOW_057_labelonly,openness,LOW,-0.47781911,-0.4881788,-0.89555496,-0.31593478,0.4701278
B_rv_openness_LOW_058_labelonly,openness,LOW,-0.60555637,-0.6547605,-0.97386837,-0.6218254,0.42633444
B_rv_openness_LOW_059_labelonly,openness,LOW,-0.7664825,-0.66081643,-1.0047866,-0.56238216,0.5680555
B_rv_openness_LOW_061_labelonly,openness,LOW,-0.73241365,-0.8497758,-1.0537592,-0.7119428,0.4759377
B_rv_openness_LOW_060_labelonly,openness,LOW,-0.31127587,-0.5684565,-0.55724853,-0.4477339,0.3060155
B_rv_openness_LOW_056_labelonly,openness,LOW,-0.33907446,-0.47511268,-0.6542272,-0.3251212,0.1884147
B_rv_openness_LOW_062_labelonly,openness,LOW,-0.29859802,-0.4966475,-0.9850901,-0.4279464,0.27878454
B_rv_openness_LOW_064_labelonly,openness,LOW,-0.7908777,-0.92918694,-1.2710155,-0.8188125,0.7300614
B_rv_openness_LOW_063_labelonly,openness,LOW,-0.15518677,-0.33632523,-0.6683478,-0.29365763,0.28920183
B_rv_openness_LOW_065_labelonly,openness,LOW,0.0873713,-0.19139136,-0.48573458,-0.03262409,0.08865954
B_rv_openness_LOW_011_labelonly,openness,LOW,-0.29367873,-0.37270695,-0.804197,-0.22351891,0.23863252
B_rv_openness_LOW_066_labelonly,openness,LOW,-0.6051729,-0.96765757,-1.1366632,-0.48954022,0.3979734
B_rv_openness_LOW_067_labelonly,openness,LOW,-0.41408125,-0.49835014,-0.8779726,-0.2792587,0.18005247
B_rv_openness_LOW_069_labelonly,openness,LOW,-0.3885623,-0.45866424,-0.93979746,-0.5278929,0.22315975
B_rv_openness_LOW_070_labelonly,openness,LOW,-0.6510539,-0.63932836,-0.92410094,-0.7563274,0.59471613
B_rv_openness_LOW_068_labelonly,openness,LOW,-0.38364235,-0.46896166,-0.819357,-0.31594184,0.35162088
B_rv_openness_LOW_076_labelonly,openness,LOW,-0.8195208,-0.96971226,-1.4380504,-0.8391534,0.4856672
B_rv_openness_LOW_077_labelonly,openness,LOW,-0.809123,-0.7873881,-1.1317352,-0.79519296,0.6800462
B_rv_openness_LOW_072_labelonly,openness,LOW,-0.21933696,-0.3064021,-0.5612168,-0.16949898,0.3361834
B_rv_openness_LOW_073_labelonly,openness,LOW,-0.29305807,-0.48602232,-0.92642874,-0.2847716,0.40065804
B_rv_openness_LOW_071_labelonly,openness,LOW,-0.61973524,-0.79886603,-1.0508811,-0.51774114,0.4661573
B_rv_openness_LOW_075_labelonly,openness,LOW,-0.57561564,-0.74832785,-0.9932874,-0.51475847,0.43746325
B_rv_openness_LOW_079_labelonly,openness,LOW,-0.5819403,-0.6630566,-1.1531006,-0.6913247,0.39929825
B_rv_openness_LOW_074_labelonly,openness,LOW,-0.25485,-0.5106781,-0.8129268,-0.38814846,0.21214421
B_rv_openness_LOW_078_labelonly,openness,LOW,-0.6725787,-0.8002231,-1.0487157,-0.62212753,0.46172437
B_rv_openness_LOW_080_labelonly,openness,LOW,-0.62654376,-0.75623304,-0.94649625,-0.7014954,0.4204071
B_rv_openness_LOW_081_labelonly,openness,LOW,-0.6215246,-0.8654883,-1.1189789,-0.9063256,0.4226437
B_rv_openness_LOW_083_labelonly,openness,LOW,-0.5590356,-0.6779249,-0.795935,-0.6690844,0.28585747
B_rv_openness_LOW_082_labelonly,openness,LOW,-0.4160461,-0.39824754,-0.87423265,-0.37368664,0.39493653
B_rv_openness_LOW_085_labelonly,openness,LOW,-0.06601209,-0.16780825,-0.5559508,-0.079120584,0.3222393
B_rv_openness_LOW_088_labelonly,openness,LOW,-0.8640846,-0.9611305,-1.2954139,-0.85254836,0.59070194
B_rv_openness_LOW_089_labelonly,openness,LOW,-0.33163914,-0.45287287,-0.8108397,-0.3856893,0.28688148
B_rv_openness_LOW_091_labelonly,openness,LOW,-0.740007,-0.8233751,-1.0894364,-0.8137633,0.47525552
B_rv_openness_LOW_090_labelonly,openness,LOW,-0.539006,-0.7787874,-1.0126563,-0.6312294,0.35348034
B_rv_openness_LOW_084_labelonly,openness,LOW,-0.8579478,-0.9594697,-1.2967113,-0.8008434,0.67054856
B_rv_openness_LOW_095_labelonly,openness,LOW,-0.87697154,-1.0464805,-1.1031618,-1.0681599,0.52438235
B_rv_openness_LOW_094_labelonly,openness,LOW,-0.2760735,-0.46484956,-0.69911414,-0.23893054,-0.07208182
B_rv_openness_LOW_093_labelonly,openness,LOW,-0.4488156,-0.58722544,-0.6634487,-0.43573526,0.35606244
B_rv_openness_LOW_086_labelonly,openness,LOW,-0.6300331,-0.641958,-0.96605045,-0.64902127,0.41862258
B_rv_openness_LOW_092_labelonly,openness,LOW,-0.29819328,-0.38143855,-0.70134336,-0.33510247,0.3973061
B_rv_openness_LOW_096_labelonly,openness,LOW,-0.9737259,-0.9224265,-1.4529718,-0.80985576,0.31147274
B_rv_openness_LOW_097_labelonly,openness,LOW,-0.65067047,-0.6991989,-1.0092958,-0.57774866,0.47419545
B_rv_openness_LOW_087_labelonly,openness,LOW,-0.63015556,-0.74385506,-1.0560689,-0.5650127,0.54829973
B_rv_openness_LOW_100_labelonly,openness,LOW,-0.53036755,-0.7305155,-1.1131834,-0.6176004,0.46965083
B_rv_openness_LOW_102_labelonly,openness,LOW,-0.20314239,-0.3072072,-0.50841784,0.13522531,0.106088564
B_rv_openness_LOW_103_labelonly,openness,LOW,-0.710156,-0.56650954,-1.1446141,-0.8478712,0.5212343
B_rv_openness_LOW_099_labelonly,openness,LOW,-0.47625282,-0.45031875,-0.7434929,-0.47599846,0.3294938
B_rv_openness_LOW_098_labelonly,openness,LOW,-0.97717655,-0.8758512,-1.3720742,-0.82658315,0.55277663
